Group, Type, String, Lev, Asch
2,EXC,XMRVM,1,2.0
2,EXC,VSMMM,2,1.71
2,EXC,XXVRSM,2,1.78
2,EXC,VVSMRM,2,1.33
2,EXC,XMRRRSM,2,1.64
2,EXC,VMSXSMM,3,0.09
2,EXC,XRRVM,1,0.29
2,EXC,VSSXM,1,3.0
2,EXC,XRSVXM,2,0.33
2,EXC,VMXRRM,2,2.0
2,EXC,XVXXMRM,4,0.09
2,EXC,VRRRSSM,3,1.27
2,EXC,XSVRM,2,1.0
2,EXC,VMRRM,3,0.0
2,EXC,XVVVMM,3,0.0
2,EXC,VRXXXM,4,0.0
2,EXC,XSXSXVM,3,0.45
2,EXC,VXXSMRM,4,0.09
2,EXC,XMMMM,1,4.0
2,EXC,VRMSM,2,0.14
2,EXC,XSXSSM,3,0.44
2,EXC,VVVVXM,3,0.44
2,EXC,XRMSSSM,3,0.82
2,EXC,VMSRXRM,3,0.55
2,EXC,XRRRM,2,0.0
2,EXC,VRMVM,2,0.0
2,EXC,XSSXRM,3,0.89
2,EXC,VRRSRM,3,0.78
2,EXC,XVRMSSM,3,0.45
2,EXC,VMSRRRM,3,0.36
2,EXC,XSSSM,2,1.43
2,EXC,VRRVM,2,0.29
2,EXC,XVVRSM,3,1.11
2,EXC,VRVVVM,3,0.11
2,EXC,XSVRRRM,3,0.64
2,EXC,VRXXXVM,3,0.45
2,EXC,XXMSM,2,1.0
2,EXC,VXXVM,2,0.0
2,EXC,XMMXMM,1,3.78
2,EXC,VVXXVM,2,0.56
2,EXC,XRRSRVM,2,1.55
2,EXC,VMXXVRM,3,0.55
2,EXC,XRRMM,2,0.0
2,EXC,VXXSM,2,0.14
2,EXC,XXXSSM,2,1.11
2,EXC,VSRXRM,3,1.44
2,EXC,XMRMVSM,2,2.0
2,EXC,VXXMVSM,3,0.91
2,EXC,XSMSM,2,0.14
2,EXC,VVVMM,2,0.57
2,EXC,XVSMVM,2,0.56
2,EXC,VVVVSM,2,1.22
2,EXC,XSMVSXM,3,0.45
2,EXC,VVVVSXM,3,0.82
2,EXC,XXXRM,2,1.71
2,EXC,VMMXM,1,2.29
2,EXC,XSMMSM,2,0.33
2,EXC,VMSXVM,2,0.11
2,EXC,XMSSVVM,3,2.18
2,EXC,VXVSVXM,3,0.64
2,EXC,XMMRM,1,3.43
2,EXC,VSSRM,1,3.43
2,EXC,XXSRRM,2,1.11
2,EXC,VVRSMM,2,1.0
2,EXC,XSSSRRM,3,1.09
2,EXC,VMMSRMM,3,0.82
2,EXC,XMSSM,2,2.14
2,EXC,VRRRM,3,0.0
2,EXC,XXSMSM,2,0.78
2,EXC,VVVMSM,2,0.56
2,EXC,XXXXSMM,3,0.64
2,EXC,VVSMSMM,2,1.18
2,EXC,XXXVM,1,0.86
2,EXC,VRMMM,3,0.29
2,EXC,XRRRSM,3,0.89
2,EXC,VVSRVM,0,3.11
2,EXC,XMSSSMM,3,1.64
2,EXC,VMMMRVM,2,1.73
2,EXC,XMMXM,0,4.86
2,EXC,VRRRM,3,0.0
2,EXC,XVSSSM,2,1.11
2,EXC,VVXRRM,2,1.11
2,EXC,XSXXMMM,4,0.09
2,EXC,VMMVRVM,2,1.36
2,EXC,XRSVM,1,0.43
2,EXC,VVVVM,2,0.57
2,EXC,XXVRRM,2,0.78
2,EXC,VSXRRM,3,1.78
2,EXC,XVVVVVM,3,0.45
2,EXC,VXMMMMM,2,0.18
2,EXC,XRRRM,2,0.0
2,EXC,VRMXM,2,0.86
2,EXC,XSMRSM,3,0.89
2,EXC,VVVVXM,3,0.44
2,EXC,XSRMRMM,4,0.0
2,EXC,VXXSMRM,4,0.09
2,EXC,XXVRM,2,1.0
2,EXC,VSSSM,1,3.57
2,EXC,XRSSSM,2,0.67
2,EXC,VVRRSM,2,1.33
2,EXC,XXVSSRM,2,1.64
2,EXC,VVSSRXM,2,1.55
2,EXC,XXXXM,2,1.0
2,EXC,VSSSM,1,3.57
2,EXC,XXXXXM,3,0.67
2,EXC,VMMMMM,2,1.11
2,EXC,XXXXMMM,4,0.64
2,EXC,VMMMMMM,3,0.91
