Group, Type, String, Lev, Asch
1,INC,XVRVM,1,0.29
1,INC,VRVRM,2,0.14
1,INC,XSSSVM,1,1.67
1,INC,VSVSRM,1,3.78
1,INC,XSRSSSM,2,1.45
1,INC,VRRRSRM,3,1.18
1,INC,XMMXM,0,4.86
1,INC,VVXMM,3,0.57
1,INC,XMMXXMM,2,2.91
1,INC,VSSRXM,2,2.67
1,INC,XMMXMXSRM,3,2.33
1,INC,VVSRXMM,2,1.82
1,INC,XXVRM,2,1.0
1,INC,VVXVM,2,0.57
1,INC,XRSSVM,1,0.89
1,INC,VRMSVM,2,0.44
1,INC,XVSSSVM,1,2.27
1,INC,VRMSSRM,3,0.73
1,INC,XSSRM,2,1.29
1,INC,VXXVM,2,0.0
1,INC,XRSSSM,2,0.67
1,INC,VRXXVM,3,0.11
1,INC,XXSRSXM,2,1.73
1,INC,VMRSSXM,3,0.91
1,INC,XXVSM,2,1.71
1,INC,VSXMM,2,1.43
1,INC,XXMMSM,2,1.0
1,INC,VXVSVM,2,0.89
1,INC,XMMVSSM,3,3.09
1,INC,VSXXXMM,4,0.91
1,INC,XSSXM,2,0.86
1,INC,VRSMM,2,0.0
1,INC,XSXXRM,3,0.33
1,INC,VXXRVM,1,1.56
1,INC,XXSRRVM,2,1.73
1,INC,VVVSSRM,3,1.45
1,INC,XMRSM,2,2.43
1,INC,VXSSM,2,0.43
1,INC,XMSVVM,2,1.78
1,INC,VSMMSM,2,1.44
1,INC,XRSMMSM,3,0.18
1,INC,VRMMSVM,3,1.45
1,INC,XVSVM,2,1.0
1,INC,VXXRM,2,0.86
1,INC,XRRSVM,1,1.0
1,INC,VXSRVM,1,1.33
1,INC,XSXXRVM,2,1.18
1,INC,VXXRSVM,1,3.18
1,INC,XXRVM,0,3.14
1,INC,VRVSM,1,0.86
1,INC,XMVVSM,2,2.11
1,INC,VRVMSM,2,0.11
1,INC,XRRSVVM,2,1.18
1,INC,VXMRVSM,2,1.55
1,INC,XRSSM,2,0.43
1,INC,VSRVM,1,1.71
1,INC,XXXVSM,2,1.44
1,INC,VRSXVM,2,0.11
1,INC,XXXRSVM,1,3.73
1,INC,VRSRSVM,1,2.82
1,INC,XSVSM,1,2.14
1,INC,VMVSM,1,0.86
1,INC,XRXSRM,3,0.33
1,INC,VMVRXM,3,0.11
1,INC,XSSSVRM,2,1.27
1,INC,VSVMXMM,3,2.0
1,INC,XSSRM,2,1.29
1,INC,VMSSM,2,0.43
1,INC,XXRRVM,1,2.67
1,INC,VSMMRM,3,1.33
1,INC,XRRSSSM,2,1.45
1,INC,VVSRRSM,1,2.36
1,INC,XRSVM,1,0.43
1,INC,VVSVM,1,2.14
1,INC,XXVSVM,1,1.56
1,INC,VXRSVM,1,2.11
1,INC,XSRXSVM,2,1.27
1,INC,VRSVSVM,2,2.27
1,INC,XSXVM,2,0.0
1,INC,VXRVM,1,1.43
1,INC,XSSSRM,2,1.33
1,INC,VMVSSM,2,0.89
1,INC,XSXRSRM,2,2.09
1,INC,VMVSSRM,3,1.09
1,INC,XMSSM,2,2.14
1,INC,VSSRM,1,3.43
1,INC,XMSSSM,3,2.0
1,INC,VXVSRM,2,1.11
1,INC,XVSSRSM,2,1.55
1,INC,VMSRSSM,2,1.82
1,INC,XMXSM,2,3.57
1,INC,VSSRM,1,3.43
1,INC,XRSMXM,2,0.22
1,INC,VRSMXM,3,0.22
1,INC,XMMXSRM,2,3.36
1,INC,VXXXSRM,3,0.45
1,INC,XMRVM,1,2.0
1,INC,VRSXM,2,0.14
1,INC,XRMVSM,2,0.78
1,INC,VRXSVM,2,0.44
1,INC,XMXRSVM,0,5.91
1,INC,VRSSSVM,1,1.91
1,INC,XXVSM,2,1.71
1,INC,VVRXM,2,0.71
1,INC,XRVMSM,3,0.11
1,INC,VMVSRM,2,1.11
1,INC,XMMRVSM,1,3.73
1,INC,VVMSRVM,1,1.55
